"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"until twitter [[provides]] us with a where are you to filter new accounts or provides a higher [[barrier]] to entry these are just words that mean little","until twitter [[finds]] us with a where are you to filter new accounts or provides a higher [[point]] to entry these are just words that mean little",0.0003713369369506836,0.010166764259338379,0,0,0,52,"Failed"
"clearly you were and are [[hopelessly]] as mistaken about yourself that not a much point going into doing it it is not rocket science it is an obvious one and necessary technology improvement you can disagree but not [[calling]] on it baiting is equally irrational","clearly you were and are [[just]] as mistaken about yourself that not a much point going into doing it it is not rocket science it is an obvious one and necessary technology improvement you can disagree but not [[dwell]] on it baiting is equally irrational",0.005905568599700928,0.9909691214561462,1,0,1,69,"Successful"
"my friend had a horrible experience with letting out her flat the family obviously indians left it in a [[right]] state it what a slut full of rubbish and completely filthy i guess they should have expected it really","my friend had a horrible experience with letting out her flat the family obviously indians left it in a [[dilapidated]] state it what a slut full of rubbish and completely filthy i guess they should have expected it really",0.014837920665740967,0.6395238637924194,1,0,1,41,"Successful"
"[[could]] you please contribute to the [[discussion]] in assyrian people before making mass edits i do not [[really]] have time to check all the edits you [[made]] but what strikes me the most is the [[claim]] that syrians [[share]] a common genetic heritage tattoo talk","[[might]] you please contribute to the [[conversation]] in assyrian people before making mass edits i do not [[truly]] have time to check all the edits you [[produced]] but what strikes me the most is the [[fact]] that syrians [[live]] a common genetic heritage tattoo talk",0.00028198957443237305,0.5330552458763123,0,1,0,142,"Successful"
"all have a small band","all have a small band",0.031913578510284424,0.031913578510284424,1,1,1,3,"Failed"
"maybe open immigration and [[allowing]] [[people]] in from developing countries where none do [[even]] understand life is up","maybe open immigration and [[pulling]] [[individuals]] in from developing countries where none do [[so]] understand life is up",0.0008230805397033691,0.014442265033721924,1,1,1,66,"Failed"
"our journalists watch isis burn a man in their cage and not [[respond]] at the original tired cliche on hijacking the religion there after all !","our journalists watch isis burn a man in their cage and not [[point]] at the original tired cliche on hijacking the religion there after all !",0.0002703070640563965,0.0004132390022277832,1,1,1,19,"Failed"
"blogger hahahaha","blogger hahahaha",0.0008209347724914551,0.0008209347724914551,0,0,0,3,"Failed"
"description and this from from california maga","description and this from from california maga",0.0022622346878051758,0.0022622346878051758,1,1,1,4,"Failed"
"wow [[wonderful]] work keep digging up academic sources and continue to re write","wow [[new]] work keep digging up academic sources and continue to re write",0.00030922889709472656,0.0009851455688476562,0,0,0,13,"Failed"
"fear they might have intellectual property [[issues]] about donating coordinates to wikipedia there are [[certainly]] a [[number]] of iphone apps that can show you the [[nearest]] features on wikipedia to your current location being a good example","fear they might have intellectual property [[convictions]] about donating coordinates to wikipedia there are [[just]] a [[plenty]] of iphone apps that can show you the [[more]] features on wikipedia to your current location being a good example",0.00024956464767456055,0.5448876619338989,0,1,0,147,"Successful"
"we are a faggot [[like]] the hadfield","we are a faggot [[at]] the hadfield",0.0003108978271484375,0.0007448792457580566,1,1,1,17,"Failed"
"you guys did not put up [[much]] of a fight in tigris the fall of the dash is on an [[accelerating]] curve islam","you guys did not put up [[quite]] of a fight in tigris the fall of the dash is on an [[increasing]] curve islam",0.08409053087234497,0.9918277263641357,0,1,0,24,"Successful"
"think how it fuck you","think how it fuck you",0.0009844303131103516,0.0009844303131103516,1,1,1,3,"Failed"
"ok then at least i do [[non]] like fiddling boys corresponding you do bitch","ok then at least i do [[no]] like fiddling boys corresponding you do bitch",0.03372400999069214,0.7347756624221802,1,0,1,15,"Successful"
"okay a cross quote from the bible for [[fuck]] is uses are not the penis connotation usually [[connected]] to masturbation but the [[case]] of fuck or [[fuck]] your is invoked to [[incite]] additional disgust or further anger or outrage for [[example]] that if or you that is a [[bit]] worse than saying is not taking a good mate [[come]] back just [[put]] it all up and quit being a douche","okay a cross quote from the bible for [[saying]] is uses are not the penis connotation usually [[linked]] to masturbation but the [[sense]] of fuck or [[bitch]] your is invoked to [[provoke]] additional disgust or further anger or outrage for [[said]] that if or you that is a [[lot]] worse than saying is not taking a good mate [[y]] back just [[give]] it all up and quit being a douche",0.0009556412696838379,0.17755132913589478,1,1,1,145,"Failed"
"i am decent at editing no worries","i am decent at editing no worries",0.00029009580612182617,0.00029009580612182617,0,0,0,4,"Failed"
"i do not know who niggas play me to deface with tears of joy i can [[show]] you better than i can tell you the bitch","i do not know who niggas play me to deface with tears of joy i can [[find]] you better than i can tell you the bitch",0.03894662857055664,0.8811191916465759,0,1,0,32,"Successful"
"please does not invent an on my side [[louisphilippecharles]] has not attacked anyone indeed and i have not [[attacked]] him it is obvious wpor is very [[clear]] users cannot conclude anything from [[sources]] if the source does not clearly say that i have [[made]] available wiki policies which [[say]] that your texts cannot be [[used]] as sources when it [[comes]] to this matter because they do not [[address]] the matter both the spanish and the italian wikipedia translate there is no [[reason]] to [[refer]] to him as and not refer to [[anne]] of austria as ana the austria or [[anne]] d auricle [[wink]] or smirk","please does not invent an on my side [[anyone]] has not attacked anyone indeed and i have not [[attacking]] him it is obvious wpor is very [[obvious]] users cannot conclude anything from [[source]] if the source does not clearly say that i have [[have]] available wiki policies which [[said]] that your texts cannot be [[given]] as sources when it [[regards]] to this matter because they do not [[make]] the matter both the spanish and the italian wikipedia translate there is no [[one]] to [[referring]] to him as and not refer to [[anna]] of austria as ana the austria or [[am]] d auricle [[ass]] or smirk",0.0005791187286376953,0.30351144075393677,0,0,0,194,"Failed"
"g men love dicks cause that [[goes]] why they sleep when","g men love dicks cause that [[describes]] why they sleep when",0.0010021328926086426,0.11504572629928589,1,1,1,45,"Failed"
"head heads are a failure","head heads are a failure",0.00304412841796875,0.00304412841796875,1,1,1,4,"Failed"
"moscow the sun is [[probably]] a plague does russia the terrible","moscow the sun is [[back]] a plague does russia the terrible",0.0008009076118469238,0.20115625858306885,1,1,1,15,"Failed"
"he is a jew someone put in the appropriate category [[please]]","he is a jew someone put in the appropriate category [[is]]",0.004035472869873047,0.9478144645690918,0,1,0,10,"Successful"
"the background section already [[links]] to that article as cited in further [[reading]] when i added it i [[thought]] it s best to just cite it as further reading rather than include [[every]] single detail from it into this article it is not what one [[would]] call balanced material","the background section already [[referenced]] to that article as cited in further [[reads]] when i added it i [[find]] it s best to just cite it as further reading rather than include [[all]] single detail from it into this article it is not what one [[people]] call balanced material",0.00013816356658935547,0.004725217819213867,0,0,0,120,"Failed"
"islam supporting [[muslims]] is just a fucking joke","islam supporting [[islam]] is just a fucking joke",0.011047780513763428,0.014062821865081787,1,1,1,9,"Failed"
"omg did you see that almost victim throw a prospect to [[scud]] the incompetent criminal with a gas pedal whatever need better gun control natural [[law]]","omg did you see that almost victim throw a prospect to [[get]] the incompetent criminal with a gas pedal whatever need better gun control natural [[cool]]",0.0017888545989990234,0.5947766304016113,1,0,1,95,"Successful"
"other that the fact that the initial see zoe ethics [[claims]] were patently not true from the beginning tripod [[also]] [[known]] as the red pen of doom","other that the fact that the initial see zoe ethics [[issues]] were patently not true from the beginning tripod [[as]] [[called]] as the red pen of doom",0.0009034872055053711,0.6115188598632812,0,1,0,68,"Successful"
"are you still talking shaking my head bitch i do not give a fuck what you are shut the fuck up talking to you just [[going]] around circles","are you still talking shaking my head bitch i do not give a fuck what you are shut the fuck up talking to you just [[pointing]] around circles",0.017372310161590576,0.8411070108413696,0,1,0,46,"Successful"
"it what a slut disturbing to read that the swedish foreign [[minister]] what a slut stabbed today","it what a slut disturbing to read that the swedish foreign [[government]] what a slut stabbed today",0.001301884651184082,0.9744222164154053,0,1,0,19,"Successful"
"references your recent [[edits]] to aston railway station have mostly been [[referenced]] thanks for that this is good practice but [[could]] you please address the relevant page numbers see wikipediaciting sources for more information","references your recent [[changes]] to aston railway station have mostly been [[appreciated]] thanks for that this is good practice but [[please]] you please address the relevant page numbers see wikipediaciting sources for more information",0.00016927719116210938,0.0004246830940246582,0,0,0,41,"Failed"
"i moved your question to talk mongoloid i hope that [[someone]] there can help you with it","i moved your question to talk mongoloid i hope that [[be]] there can help you with it",0.0009452700614929199,0.39982831478118896,0,0,0,17,"Failed"
"you are [[seriously]] a [[dick]] feel free to download delete my wikipedia [[email]] account i i don't care i cannot believe you it did not [[even]] [[give]] me there a chance to edit my [[new]] article you removed it literally 30 minutes [[behind]] after i [[originally]] only posted it penis move suck it","you are [[clearly]] a [[bitch]] feel free to download delete my wikipedia [[yahoo]] account i i don't care i cannot believe you it did not [[also]] [[show]] me there a chance to edit my [[own]] article you removed it literally 30 minutes [[in]] after i [[initially]] only posted it penis move suck it",0.00017058849334716797,0.0004392266273498535,1,1,1,120,"Failed"
"wow then m [[like]] t scared as your worst but ha","wow then m [[with]] t scared as your worst but ha",0.0007767677307128906,0.03532290458679199,1,1,1,12,"Failed"
"dalek i ve finally finished [[updating]] and polishing all the citations in dale and i have [[made]] a [[start]] on trimming the trivia and rewriting the sections which [[used]] to be full of one sentence paragraphs most [[notably]] the music section could you take a look at the article and [[let]] me know how it is looking to you and what if [[anything]] still needs work to get it through far thanks talk [[cont]] ribs","dalek i ve finally finished [[looking]] and polishing all the citations in dale and i have [[been]] a [[go]] on trimming the trivia and rewriting the sections which [[expect]] to be full of one sentence paragraphs most [[even]] the music section could you take a look at the article and [[need]] me know how it is looking to you and what if [[thing]] still needs work to get it through far thanks talk [[ing]] ribs",0.00024634599685668945,0.08776545524597168,0,0,0,173,"Failed"
"pa sto it [[happens]] policies cuba bone secular","pa sto it [[was]] policies cuba bone secular",0.01794034242630005,0.0488208532333374,1,1,1,17,"Failed"
"just got on twitter because of this video today imagine this i [[make]] a report on women yelling you names and how [[people]] are all [[liar]] and asshole you are [[without]] reason would you be angry of yourself you [[would]] be it s a hell with me you can fuck hard to get some [[rapefugee]]","just got on twitter because of this video today imagine this i [[think]] a report on women yelling you names and how [[things]] are all [[lies]] and asshole you are [[beyond]] reason would you be angry of yourself you [[gotta]] be it s a hell with me you can fuck hard to get some [[i]]",0.00039142370223999023,0.035544633865356445,1,1,1,125,"Failed"
"us specialized education administrators can [[even]] use a [[ton]] project of rethinking scot versus maga into rednationrising","us specialized education administrators can [[similarly]] use a [[school]] project of rethinking scot versus maga into rednationrising",0.00040847063064575195,0.09956610202789307,1,1,1,35,"Failed"
"the tesco advert is very diverse you can [[bet]] next time all the other supermarkets will be copying this strategy","the tesco advert is very diverse you can [[be]] next time all the other supermarkets will be copying this strategy",0.000539243221282959,0.017254352569580078,0,0,0,47,"Failed"
"blue collar roots adam s imdb mini [[biography]] says h is mom what a slut a sex [[therapist]] and his dad what a slut a while he did apparently have blue collar [[jobs]] if imdb is correct i think it is misleading to [[say]] he came from blue collar roots","blue collar roots adam s imdb mini [[mise]] says h is mom what a slut a sex [[lover]] and his dad what a slut a while he did apparently have blue collar [[s]] if imdb is correct i think it is misleading to [[be]] he came from blue collar roots",0.0010836124420166016,0.9555344581604004,0,1,0,105,"Successful"
"systemic violence is [[yet]] violence [[simply]] it should not be a surprise if you be disastrous they [[represent]] always love violent","systemic violence is [[just]] violence [[perhaps]] it should not be a surprise if you be disastrous they [[are]] always love violent",0.00017637014389038086,0.0007420182228088379,1,1,1,34,"Failed"
"perhaps four or [[five]] percent of all humans are driving the progress of our civilization the rest are [[supporting]] that civilization so that the bright ones can do their work","perhaps four or [[one]] percent of all humans are driving the progress of our civilization the rest are [[embracing]] that civilization so that the bright ones can do their work",0.0044609904289245605,0.7260808944702148,0,1,0,47,"Successful"
"our policy if no reliable third party sources can be [[found]] on a topic then it should not have a separate article there is no well if there are [[never]] [[going]] to be third party sources then the article does not [[need]] them exceptions","our policy if no reliable third party sources can be [[established]] on a topic then it should not have a separate article there is no well if there are [[only]] [[bound]] to be third party sources then the article does not [[require]] them exceptions",0.0001628398895263672,0.00027066469192504883,0,0,0,80,"Failed"
